Kitap Adı,Format,Kaynak / Durum,Bulunduğu Klasör,Tam Dosya Yolu,Boyut (MB)
The Rise of the Mafia. The Definitive Story of Organised Crime (Martin Short) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Gldy,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Gldy/The Rise of the Mafia. The Definitive Story of Organised Crime (Martin Short) (z-lib.org).epub,0.61
The Last Supper (Philip Willan) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Gldy,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Gldy/The Last Supper (Philip Willan) (z-lib.org).epub,3.29
"Operation Gladio The Unholy Alliance between the Vatican, the CIA, and the Mafia (Paul L. Williams) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Gldy,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Gldy/Operation Gladio The Unholy Alliance between the Vatican, the CIA, and the Mafia (Paul L. Williams) (z-lib.org).epub",1.03
Dark Mysteries of the Vatican    (H. Paul Jeffers) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Vatkn,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Vatkn/Dark Mysteries of the Vatican    (H. Paul Jeffers) (z-lib.org).epub,0.59
Secret Practices of the Sufi Freemasons The Islamic Teachings at the Heart of Alchemy (Rudolf von Sebottendorff) (z-lib.org) (1).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Trk,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Trk/Secret Practices of the Sufi Freemasons The Islamic Teachings at the Heart of Alchemy (Rudolf von Sebottendorff) (z-lib.org) (1).epub,0.38
"The autobiography of Harry S. Truman (Harry S. Truman, Robert H. Ferrell) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Truman,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Truman/The autobiography of Harry S. Truman (Harry S. Truman, Robert H. Ferrell) (z-lib.org).epub",1.42
~$litical_Game_Theory_Princeton.docx,DOCX,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Game Theory/Game Theory_Political,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Game Theory/Game Theory_Political/~$litical_Game_Theory_Princeton.docx,0.0
Project 2025-MandateF or Leadership.docx,DOCX,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Us_Project2025,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Us_Project2025/Project 2025-MandateF or Leadership.docx,2.8
Freemasonry in the Ottoman Empire  a history of the Fraternity and its influence in Syria and the Levant (Dorothea Sommer) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Trk,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Trk/Freemasonry in the Ottoman Empire  a history of the Fraternity and its influence in Syria and the Levant (Dorothea Sommer) (z-lib.org).epub,6.11
The Templars The History and the Myth From Solomons Temple to the Freemasons (Michael Haag) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Templars,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Templars/The Templars The History and the Myth From Solomons Temple to the Freemasons (Michael Haag) (z-lib.org).epub,0.42
The Secrets of Freemasonry (Robert Lomas) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_ing,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_ing/The Secrets of Freemasonry (Robert Lomas) (z-lib.org).epub,1.01
~$t-Game_Theory_Princeton.docx,DOCX,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Game Theory/Game Theory,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Game Theory/Game Theory/~$t-Game_Theory_Princeton.docx,0.0
~$me_Theory_Princeton.docx,DOCX,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/Game Theory/Game Theory,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/Game Theory/Game Theory/~$me_Theory_Princeton.docx,0.0
"Builders of Empire Freemasons and British Imperialism, 1717-1927 (Jessica L. Harland-Jacobs) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_ing,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_ing/Builders of Empire Freemasons and British Imperialism, 1717-1927 (Jessica L. Harland-Jacobs) (z-lib.org).epub",3.0
Masonry Inside Out ( etc.) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_insd,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_insd/Masonry Inside Out ( etc.) (z-lib.org).epub,0.17
"Rule by Secrecy The Hidden History that Connects the Trilateral Commission, the Freemasons  the Great Pyramids (Jim Marrs) (z-lib.org) (1).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Illmnt,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Illmnt/Rule by Secrecy The Hidden History that Connects the Trilateral Commission, the Freemasons  the Great Pyramids (Jim Marrs) (z-lib.org) (1).epub",0.8
The Illuminati Facts and Fiction (Mark Dice) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Illmnt,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Illmnt/The Illuminati Facts and Fiction (Mark Dice) (z-lib.org).epub,0.48
"Morals and Dogma of the Ancient and Accepted Scottish Rite of Freemasonry (Albert Pike [Pike, Albert]) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Rules,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Rules/Morals and Dogma of the Ancient and Accepted Scottish Rite of Freemasonry (Albert Pike [Pike, Albert]) (z-lib.org).epub",1.01
The Freemasons in America Inside the Secret Society (H. Paul Jeffers) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Abd,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Abd/The Freemasons in America Inside the Secret Society (H. Paul Jeffers) (z-lib.org).epub,0.51
"The Israel Lobby and U.S. Foreign Policy (John J. Mearsheimer, Stephen M. Walt) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/zjew,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/zjew/The Israel Lobby and U.S. Foreign Policy (John J. Mearsheimer, Stephen M. Walt) (z-lib.org).epub",210.86
"The Jews of France A History from Antiquity to the Present. (Esther Benbassa, M. B. Debevoise) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/zjew,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/zjew/The Jews of France A History from Antiquity to the Present. (Esther Benbassa, M. B. Debevoise) (z-lib.org).epub",0.36
"The Jews And Modern Capitalism (Sombart, Werner) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/zjew,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/zjew/The Jews And Modern Capitalism (Sombart, Werner) (z-lib.org).epub",0.32
The Jewish State (Theodor Herzl) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/zjew,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/zjew/The Jewish State (Theodor Herzl) (z-lib.org).epub,0.1
"That Religion in Which All Men Agree freemasonry in American culture (FreemasonsHackett, David G) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Abd,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Abd/That Religion in Which All Men Agree freemasonry in American culture (FreemasonsHackett, David G) (z-lib.org).epub",1.16
"Esoteric freemasonry rituals  practices for a deeper understanding (Biasi, Jean-Louis de) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Ezot,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Ezot/Esoteric freemasonry rituals  practices for a deeper understanding (Biasi, Jean-Louis de) (z-lib.org).epub",5.96
The Jews of Ottoman Izmir A Modern History (Dina Danon) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/zjew,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/zjew/The Jews of Ottoman Izmir A Modern History (Dina Danon) (z-lib.org).epub,2.71
The Jews in Britain A Chronology (Frank Raphael Langham) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/zjew,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/zjew/The Jews in Britain A Chronology (Frank Raphael Langham) (z-lib.org).epub,1.23
"NATOs Secret Armies Operation Gladio and terrorism in Western Europe (Prados, John Ganser, Daniele) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Gldy,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Gldy/NATOs Secret Armies Operation Gladio and terrorism in Western Europe (Prados, John Ganser, Daniele) (z-lib.org).epub",1.74
Ancient Mysteries and Modern Masonry (C. H. Vail) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_History,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_History/Ancient Mysteries and Modern Masonry (C. H. Vail) (z-lib.org).epub,0.49
"The Lost Keys of Freemasonry (Hall, Manly P) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_History,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_History/The Lost Keys of Freemasonry (Hall, Manly P) (z-lib.org).epub",2.18
Scarlet and the Beast A History of the War Between English and French Freemasonry (John Daniel) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_History,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_History/Scarlet and the Beast A History of the War Between English and French Freemasonry (John Daniel) (z-lib.org).epub,2.05
The Secrets of Solomon s Temple Discover the Hidden Truth that Lies at the Heart of Freemasonry (Unknown) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_History,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_History/The Secrets of Solomon s Temple Discover the Hidden Truth that Lies at the Heart of Freemasonry (Unknown) (z-lib.org).epub,5.2
The Facts on the Masonic Lodge ( etc.) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Hrst,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Hrst/The Facts on the Masonic Lodge ( etc.) (z-lib.org).epub,0.51
The Key to Solomons Key Is This the Lost Symbol of Masonry (Lon Milo DuQuette) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_History,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_History/The Key to Solomons Key Is This the Lost Symbol of Masonry (Lon Milo DuQuette) (z-lib.org).epub,2.08
"The Second Messiah Templars, the Turin Shroud and the Great Secret of Freemasonry (Christopher Knight, Robert Lomas) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_History,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_History/The Second Messiah Templars, the Turin Shroud and the Great Secret of Freemasonry (Christopher Knight, Robert Lomas) (z-lib.org).epub",1.72
The Masonic Myth (Jay Kinney) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_Gen,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_Gen/The Masonic Myth (Jay Kinney) (z-lib.org).epub,1.62
"The Secret History of Freemasonry Its Origins and Connection to the Knights Templar (Naudon, Paul) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Msn_History,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Msn_History/The Secret History of Freemasonry Its Origins and Connection to the Knights Templar (Naudon, Paul) (z-lib.org).epub",0.99
"The Square and the Tower Networks and Power, from the Freemasons to Facebook (Niall Ferguson) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_Eng-20260529T160906Z-3-001.zip),Books for Text_Eng/DUVAR-Eng/Illmnt,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Eng-20260529T160906Z-3-001.zip -> Books for Text_Eng/DUVAR-Eng/Illmnt/The Square and the Tower Networks and Power, from the Freemasons to Facebook (Niall Ferguson) (z-lib.org).epub",55.95
Fethullah Gülen Röportajı (Ekrem Dumanlı) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_Hzm-20260529T161525Z-3-001.zip),Books for Text_Hzm/HE_Roportajlar,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_Hzm-20260529T161525Z-3-001.zip -> Books for Text_Hzm/HE_Roportajlar/Fethullah Gülen Röportajı (Ekrem Dumanlı) (z-lib.org).epub,0.09
kukla.docx,DOCX,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-001.zip),Books for Text_TR/Gld-World,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-001.zip -> Books for Text_TR/Gld-World/kukla.docx,0.0
Kabala-Yahudi-Kadim-Mistik-Oğretisi-A-Ekrem-Ulku.epub,EPUB,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-001.zip),Books for Text_TR/Yhd,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-001.zip -> Books for Text_TR/Yhd/Kabala-Yahudi-Kadim-Mistik-Oğretisi-A-Ekrem-Ulku.epub,1.25
"Yahudiler, Dünya ve Para - Yahudi Halkının Ekonomik Tarihi (Jacgues Attali) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-001.zip),Books for Text_TR/Yhd,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-001.zip -> Books for Text_TR/Yhd/Yahudiler, Dünya ve Para - Yahudi Halkının Ekonomik Tarihi (Jacgues Attali) (z-lib.org).epub",0.92
Zihin-Kontrolu-ve-Yonlendirmesi-Us.docx,DOCX,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-001.zip),Books for Text_TR/Propaganda ve İkna/Zihin Kontrolu,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-001.zip -> Books for Text_TR/Propaganda ve İkna/Zihin Kontrolu/Zihin-Kontrolu-ve-Yonlendirmesi-Us.docx,0.37
"AKPnin Önlenebilir Karşı-Devrimi (Timur, Taner) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-001.zip),Books for Text_TR/RTE,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-001.zip -> Books for Text_TR/RTE/AKPnin Önlenebilir Karşı-Devrimi (Timur, Taner) (z-lib.org).epub",0.6
Psikolojik Manipülasyon.docx,DOCX,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-001.zip),Books for Text_TR/Propaganda ve İkna/Manipulasyon,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-001.zip -> Books for Text_TR/Propaganda ve İkna/Manipulasyon/Psikolojik Manipülasyon.docx,0.05
"Haliçte Yaşayan Simonlar (Hanefi Avcı [Avcı, Hanefi]) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-001.zip),Books for Text_TR/Yazarlar-Tr/Hanefi Avcı,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-001.zip -> Books for Text_TR/Yazarlar-Tr/Hanefi Avcı/Haliçte Yaşayan Simonlar (Hanefi Avcı [Avcı, Hanefi]) (z-lib.org).epub",0.56
"Cemaatin İflası (Hanefi Avcı [Avcı, Hanefi]) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-001.zip),Books for Text_TR/Yazarlar-Tr/Hanefi Avcı,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-001.zip -> Books for Text_TR/Yazarlar-Tr/Hanefi Avcı/Cemaatin İflası (Hanefi Avcı [Avcı, Hanefi]) (z-lib.org).epub",0.26
İstanbul Yahudi Cemaati’nin Tarihi Oluşum Yılları (1453-1566) (Minna Rozen) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-002.zip),Books for Text_TR/Yhd/Sbty ve Yhd,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-002.zip -> Books for Text_TR/Yhd/Sbty ve Yhd/İstanbul Yahudi Cemaati’nin Tarihi Oluşum Yılları (1453-1566) (Minna Rozen) (z-lib.org).epub,8.89
BİR AKP BELGESELİ-MASKESİZ SOYGUN (İLHAN TAŞCI) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-002.zip),Books for Text_TR/RTE,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-002.zip -> Books for Text_TR/RTE/BİR AKP BELGESELİ-MASKESİZ SOYGUN (İLHAN TAŞCI) (z-lib.org).epub,9.86
"İmparatorluğun En Uzun Yüzyılı (İlber Ortaylı [Ortaylı, İlber]) (z-lib.org).epub",EPUB,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-003.zip),Books for Text_TR/Yazarlar-Tr/İlber Ortaylı,"C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-003.zip -> Books for Text_TR/Yazarlar-Tr/İlber Ortaylı/İmparatorluğun En Uzun Yüzyılı (İlber Ortaylı [Ortaylı, İlber]) (z-lib.org).epub",0.62
Avrupa ve Biz (İlber Ortaylı) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-003.zip),Books for Text_TR/Yazarlar-Tr/İlber Ortaylı,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-003.zip -> Books for Text_TR/Yazarlar-Tr/İlber Ortaylı/Avrupa ve Biz (İlber Ortaylı) (z-lib.org).epub,11.2
Türkiyenin Yakın Tarihi (İlber Ortaylı) (z-lib.org).epub,EPUB,ZIP Arşivi İçinde (Books for Text_TR-20260529T163910Z-3-003.zip),Books for Text_TR/Yazarlar-Tr/İlber Ortaylı,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\Books for Text_TR-20260529T163910Z-3-003.zip -> Books for Text_TR/Yazarlar-Tr/İlber Ortaylı/Türkiyenin Yakın Tarihi (İlber Ortaylı) (z-lib.org).epub,0.63
Bir-Kırık-Dilekce-M-Fethullah-Gulen.epub,EPUB,Klasörde Çıkarılmış,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Library_Hzm-20260601T230631Z-3-001\b-Library_Hzm\Dua-Oku,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Library_Hzm-20260601T230631Z-3-001\b-Library_Hzm\Dua-Oku\Bir-Kırık-Dilekce-M-Fethullah-Gulen.epub,0.08
Efendimiz-in-Bir-Gunu-Abdulhakim-Yuce-Işık-Yayınları-2011.epub,EPUB,Klasörde Çıkarılmış,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Library_Hzm-20260601T230631Z-3-001\b-Library_Hzm\Efendimiz Sav-Hzm,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Library_Hzm-20260601T230631Z-3-001\b-Library_Hzm\Efendimiz Sav-Hzm\Efendimiz-in-Bir-Gunu-Abdulhakim-Yuce-Işık-Yayınları-2011.epub,0.26
Fethullah Gülen Röportajı (Ekrem Dumanlı) (z-lib.org).epub,EPUB,Klasörde Çıkarılmış,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Library_Hzm-20260601T230631Z-3-001\b-Library_Hzm\HE-Bio-Hzm,C:\Users\default.LAPTOP-OBA1HVU9\.antigravity-ide\Books\b-Library_Hzm-20260601T230631Z-3-001\b-Library_Hzm\HE-Bio-Hzm\Fethullah Gülen Röportajı (Ekrem Dumanlı) (z-lib.org).epub,0.09
